[loci]=10241

[populations]=3

[pop]=1
 1	50	2	43 7
 2	52	2	52 0
 3	44	2	43 1
 4	44	2	36 8
 5	52	2	32 20
 6	48	3	34 11 3
 7	46	2	40 6
 8	44	2	42 2
 9	44	2	43 1
 10	46	3	30 0 16
 11	52	2	47 5
 12	52	2	34 18
 13	50	2	48 2
 14	52	2	17 35
 15	48	2	34 14
 16	42	2	35 7
 17	52	2	33 19
 18	46	2	45 1
 19	42	2	35 7
 20	50	2	43 7
 21	54	2	11 43
 22	48	2	44 4
 23	48	2	38 10
 24	44	2	43 1
 25	48	3	43 4 1
 26	54	2	53 1
 27	48	2	46 2
 28	50	2	50 0
 29	50	2	36 14
 30	52	2	50 2
 31	48	2	27 21
 32	52	2	48 4
 33	52	3	42 9 1
 34	44	2	42 2
 35	50	2	46 4
 36	50	2	49 1
 37	46	2	41 5
 38	52	2	51 1
 39	48	2	35 13
 40	52	2	51 1
 41	52	2	50 2
 42	48	2	47 1
 43	52	2	52 0
 44	42	2	36 6
 45	48	2	31 17
 46	50	2	49 1
 47	44	2	43 1
 48	50	2	50 0
 49	44	3	28 14 2
 50	44	2	43 1
 51	48	2	48 0
 52	42	2	12 30
 53	48	2	48 0
 54	52	2	9 43
 55	52	4	43 0 7 2
 56	52	2	52 0
 57	50	2	49 1
 58	52	3	7 31 14
 59	52	2	47 5
 60	54	2	47 7
 61	52	2	41 11
 62	48	2	27 21
 63	52	2	29 23
 64	46	3	40 4 2
 65	48	2	48 0
 66	52	2	51 1
 67	52	2	45 7
 68	50	3	43 5 2
 69	54	2	53 1
 70	52	2	50 2
 71	52	2	42 10
 72	48	2	47 1
 73	48	3	43 5 0
 74	52	2	49 3
 75	46	3	39 4 3
 76	50	3	48 1 1
 77	54	2	40 14
 78	52	2	13 39
 79	44	2	38 6
 80	50	2	50 0
 81	48	2	36 12
 82	46	3	22 2 22
 83	46	2	45 1
 84	42	2	41 1
 85	52	2	50 2
 86	48	3	35 13 0
 87	54	2	51 3
 88	52	2	51 1
 89	46	2	46 0
 90	54	2	53 1
 91	54	3	52 1 1
 92	50	2	43 7
 93	50	3	43 7 0
 94	52	2	26 26
 95	44	3	38 5 1
 96	52	2	52 0
 97	48	2	47 1
