[loci]=12983

[populations]=4

[pop]=1
 1	524	2	487 37 
 2	500	2	484 16 
 3	532	2	503 29 
 4	542	3	396 145 1 
 5	498	2	428 70 
 6	528	5	413 88 25 2 0 
 7	520	2	468 52 
 8	530	2	493 37 
 9	518	2	504 14 
 10	500	3	332 32 136 
 11	528	2	439 89 
 12	516	2	280 236 
 13	522	2	516 6 
 14	504	2	182 322 
 15	506	2	503 3 
 16	508	2	395 113 
 17	534	2	533 1 
 18	518	2	431 87 
 19	526	2	410 116 
 20	498	2	484 14 
 21	508	2	444 64 
 22	524	2	494 30 
 23	530	2	135 395 
 24	518	2	509 9 
 25	532	2	531 1 
 26	522	2	433 89 
 27	532	2	502 30 
 28	502	4	467 34 0 1 
 29	538	2	525 13 
 30	512	2	507 5 
 31	536	2	534 2 
 32	516	2	503 13 
 33	520	2	394 126 
 34	512	2	445 67 
 35	534	3	277 257 0 
 36	540	2	535 5 
 37	520	3	446 72 2 
 38	532	2	527 5 
 39	514	2	513 1 
 40	504	2	494 10 
 41	524	2	520 4 
 42	510	2	467 43 
 43	510	2	507 3 
 44	502	2	311 191 
 45	514	2	514 0 
 46	526	2	517 9 
 47	508	2	508 0 
 48	518	2	515 3 
 49	500	2	499 1 
 50	520	2	473 47 
 51	522	2	522 0 
 52	546	2	356 190 
 53	510	2	510 0 
 54	494	2	487 7 
 55	528	2	524 4 
 56	498	3	496 1 1 
 57	504	2	483 21 
 58	536	2	516 20 
 59	494	4	383 102 8 1 
 60	496	2	470 26 
 61	514	3	504 7 3 
 62	520	2	163 357 
 63	508	2	502 6 
 64	526	2	516 10 
 65	514	2	86 428 
 66	494	4	405 8 60 21 
 67	506	2	501 5 
 68	516	2	508 8 
 69	528	2	528 0 
 70	542	2	533 9 
 71	530	4	115 254 160 1 
 72	536	2	463 73 
 73	540	2	466 74 
 74	540	2	451 89 
 75	516	2	357 159 
 76	522	2	240 282 
 77	508	2	506 2 
 78	524	3	470 37 17 
 79	528	3	511 16 1 
 80	530	3	517 6 7 
 81	522	2	371 151 
 82	522	2	512 10 
 83	530	4	468 57 5 0 
 84	528	2	527 1 
 85	502	3	491 8 3 
 86	538	2	491 47 
 87	504	2	504 0 
 88	520	2	494 26 
 89	522	3	500 17 5 
 90	522	2	444 78 
 91	506	4	400 96 9 1 
 92	512	3	471 35 6 
 93	534	2	336 198 
 94	506	2	150 356 
 95	514	2	474 40 
 96	526	2	518 8 
 97	518	2	430 88 
 98	528	3	211 101 216 
 99	512	5	494 7 7 2 2 
 100	504	2	487 17 
 101	512	2	512 0 
 102	524	2	507 17 
 103	494	4	417 62 13 2 
 104	530	3	498 26 6 
 105	520	2	520 0 
 106	518	2	518 0 
 107	544	2	529 15 
 108	516	5	497 1 13 4 1 
 109	538	2	538 0 
 110	512	3	510 0 2 
 111	524	2	378 146 
 112	514	3	367 132 15 
 113	496	2	314 182 
 114	514	4	377 135 2 0 
 115	534	3	519 13 2 
 116	532	2	517 15 
 117	532	3	236 279 17 
 118	534	2	534 0 
 119	522	3	491 30 1 
 120	506	2	479 27 
 121	524	2	223 301 
 122	520	2	519 1 
 123	526	2	523 3 
 124	526	2	429 97 
 125	542	2	169 373 
 126	538	3	491 42 5 
 127	520	2	520 0 
 128	536	2	524 12 
 129	532	3	527 5 0 
 130	524	3	514 10 0 
 131	534	2	491 43 
 132	496	2	490 6 
 133	508	2	500 8 
 134	530	2	452 78 
 135	524	2	522 2 
 136	538	2	397 141 
 137	536	2	420 116 
 138	520	3	495 25 0 
 139	518	2	449 69 
 140	520	2	503 17 
 141	518	2	387 131 
 142	508	2	498 10 
 143	508	2	484 24 
 144	524	2	408 116 
 145	504	3	500 2 2 
 146	538	2	513 25 
 147	530	2	232 298 
 148	500	2	349 151 
 149	528	2	429 99 
 150	534	3	492 36 6 
 151	500	2	147 353 
 152	514	2	430 84 
 153	516	2	507 9 
 154	540	2	508 32 
 155	494	2	481 13 
 156	492	2	478 14 
 157	500	2	498 2 
 158	496	2	489 7 
 159	528	2	525 3 
 160	516	2	506 10 
 161	502	2	473 29 
 162	506	2	367 139 
 163	492	2	474 18 
 164	508	2	500 8 
 165	514	2	497 17 
 166	534	2	519 15 
 167	544	2	506 38 
 168	506	2	228 278 
 169	524	2	506 18 
 170	506	3	493 12 1 
 171	532	2	489 43 
 172	532	2	526 6 
 173	510	2	289 221 
 174	514	3	504 8 2 
 175	526	2	512 14 
 176	528	3	439 51 38 
 177	514	3	485 7 22 
 178	500	3	337 134 29 
 179	516	2	514 2 
 180	502	3	95 405 2 
 181	516	2	485 31 
 182	524	2	515 9 
 183	498	2	260 238 
 184	528	2	524 4 
 185	522	2	229 293 
 186	524	3	500 14 10 
 187	524	2	521 3 
 188	524	2	523 1 
 189	510	3	464 39 7 
 190	528	2	432 96 
 191	504	3	485 14 5 
 192	522	2	522 0 
 193	506	2	503 3 
 194	526	2	488 38 
 195	514	2	512 2 
 196	496	2	494 2 
 197	514	2	504 10 
 198	522	3	62 410 50 
 199	524	4	438 71 9 6 
 200	506	2	354 152 
 201	520	3	464 53 3 
 202	518	2	446 72 
 203	496	2	405 91 
 204	500	4	46 451 2 1 
 205	492	2	489 3 
 206	494	2	494 0 
 207	532	2	420 112 
 208	514	3	492 20 2 
 209	540	3	50 401 89 
 210	524	2	494 30 
 211	528	2	419 109 
 212	516	2	340 176 
 213	492	2	381 111 
 214	526	2	521 5 
 215	518	2	496 22 
 216	536	2	380 156 
 217	528	2	462 66 
 218	502	2	500 2 
 219	534	3	533 1 0 
 220	496	2	330 166 
 221	524	2	373 151 
 222	504	2	491 13 
 223	542	2	541 1 
 224	540	3	498 23 19 
 225	506	2	506 0 
 226	524	2	492 32 
 227	516	5	380 111 6 18 1 
 228	512	2	397 115 
 229	518	2	395 123 
 230	540	2	538 2 
 231	516	2	126 390 
 232	520	3	403 103 14 
 233	494	2	478 16 
 234	526	2	523 3 
 235	514	3	421 16 77 
 236	508	2	499 9 
 237	526	3	7 23 496 
 238	530	2	526 4 
 239	516	2	478 38 
 240	504	2	483 21 
 241	502	3	389 42 71 
 242	514	2	496 18 
 243	508	2	464 44 
 244	496	2	495 1 
